AdviceDeckDescription__c,AgeApplies__c,AppliesToPerson__c,AskToDisplayOnLifeline__c,AsktodisplayonTimeline__c,ConsiderFinancialImpact__c,Description__c,DeveloperName__c,FactCategory__c,FactCategory__r.DeveloperName__c,HasAmount__c,HasDate__c,Id,Name,NotesRequired__c,NovaId__c,PostCreateInstructions__c,Status__c,Transient__c,VulnerabilityCategory__c
,No,Yes,No,,No,A fortune cookie tells you that you only have five years left to live. You throw it away and get on with your meal. But just imagine for a second that this was true. How would you spend these final years? What would you do with the time you have left?,QUESTION_2,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSdxMAG,Question 2,Yes,,,Active,,
,No,Yes,No,,No,"Imagine you have no financial worries. Money's not an issue, and it won't be for the rest of your life. How would you live your life? And what would you do with your money?",QUESTION_1,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSdyMAG,Question 1,Yes,,,Active,,
,No,Yes,No,,No,Now imagine it was just one day. What do you wish you'd done - or done differently? What dreams will be left unfilled?,QUESTION_3,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSdzMAG,Question 3,Yes,,,Active,,
,No,Yes,No,,No,How a person's past experience with other firms/advisors has shaped their outlook,PREVIOUS_EXPERIENCE_OF_FINANCIAL_ADVICE,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSe0MAG,Previous experience of financial advice,Yes,,,Active,,
,No,Yes,No,,No,This customer's pension savings surpass LTA. Ensure to link to the appropriate person and add the total pension value to the amount field.,PENSION_SAVINGS_EXCEED_LIFETIME_ALLOWANCE,a1DQz000003S8DsMAK,PERSONAL_FINANCES,Yes,No,a1EQz000001NSe1MAG,Pension savings exceed lifetime allowance,Yes,,,Active,,
,No,Optional,No,,No,"Confirm the client has discussed (or doesn't want to discuss) their retirement plans with key stakeholders, e.g. children, who they are and what the outcomes were",RETIREMENT_PLANS_STAKEHOLDERS,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSe2MAG,Retirement plans & stakeholders,Yes,,,Active,,
,No,Yes,No,,No,The client is paying their pension annual allowance tax charge via self assessment therefore we do not need to advise a charge payment strategy,PAYING_TAX_CHARGES,a1DQz000003S8DsMAK,PERSONAL_FINANCES,No,No,a1EQz000001NSe3MAG,Paying tax charges,Yes,,,Active,,
,No,Optional,No,,No,"Add this fact if the client wants to pass on wealth, this might be through gifting or saving inheritance tax etc. Specify who clients wealth should be passed on to.",PASSING_ON_WEALTH,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSe4MAG,Passing on wealth,Yes,,,Active,,
,No,No,No,,No,We’ve made intros to any accountants. Include the name of the firm and accountant in notes.,INTRODUCTION_MADE_TO_ACCOUNTANT,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSe5MAG,Introduction made to accountant,Yes,,,Active,,
,No,Optional,No,,No,Record client’s views on using investments to provide income for retirement.,VIEWS_ON_DRAWDOWN,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSe6MAG,Views on drawdown,Yes,,,Active,,
,No,Optional,No,,No,Record clients views on annuity or storing their money in other sources,VIEWS_ON_GUARANTEED_INCOME,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSe7MAG,Views on guaranteed income,Yes,,,Active,,
,No,Optional,No,,No,Any non standard income sources relevant for retirement planning,NON_STANDARD_INCOME_SOURCES,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSe8MAG,Non standard income sources,Yes,,,Active,,
,No,No,No,,No,Indicate if client would like to stay at home/move in retirement,HOME_PROPERTY_PREFERENCE,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSe9MAG,Home/property preference,Yes,,,Active,,
,No,Optional,No,,No,"Indicate here if we have the correct documentation for a state pension and what they are entitled to. To be added for pre-state pension age only, any retirement income should be stored in the profile.",STATE_PENSION_ENTITLEMENT,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSeAMAW,State pension entitlement,Yes,,,Active,,
,No,No,No,,No,"Indicate if the client has left us a trust pilot review, or if we have asked and haven’t received one yet.",TRUST_PILOT_REVIEW,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSeBMAW,Trust pilot review,Yes,,,Active,,
,No,No,No,,No,We’ve made intros to any lawyers. Include the name of the firm and lawyer in notes.,INTRODUCTION_MADE_TO_LAWYER,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSeCMAW,Introduction made to lawyer,Yes,,,Active,,
,No,No,No,,No,Add clients response to conditional permission asking for a referral.,CONDITIONAL_PERMISSION_GRANTED,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSeDMAW,Conditional permission granted,Yes,,,Active,,
,No,No,No,,No,We’ve asked for a referral from the client.,ASKED_FOR_REFERRAL,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSeEMAW,Asked for referral,Yes,,,Active,,
,No,No,No,,No,Client has been added on LinkedIn or left us a LinkedIn review.,LINKEDIN,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSeFMAW,LinkedIn,Yes,,,Active,,
,No,Optional,No,,No,"Confirm the client has discussed (or doesn't want to discuss) their retirement plans with key stakeholders, e.g. children, who they are and what the outcomes were",RETIREMENT_PLAN_DISCUSSION_WITH_FAMILY,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSeGMAW,Retirement plan discussion with family,Yes,,,Active,,
,No,No,No,,No,Introduction made to a wealth client to the mortgage team.,INTRODUCTION_MADE_TO_MORTGAGE_TEAM,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSeHMAW,Introduction made to mortgage team,Yes,,,Active,,
,No,Optional,No,,No,Record the client's ability to reduce expenditure during retirement and any actions they'd be willing to take.,REDUCE_EXPENDITURE,a1DQz000003S8E4MAK,RETIREMENT,No,No,a1EQz000001NSeIMAW,Ability/willingness to reduce expenditure,Yes,,,Active,,
,No,Yes,No,,No,Add if client has recently experienced a significant change in the employment such as retirement or redundancy,JOB_CHANGE,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSeJMAW,Job change,Yes,,,Active,,Life events
,No,Yes,No,,No,Add if client has low mental capacity or cognitive disability,LOW_MENTAL_CAPACITY_OR_COGNITIVE_DISABILITY,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSeKMAW,Low mental capacity or cognitive disability,Yes,,,Active,,Health
,No,Yes,No,,No,Add if client has recently experienced an income or capital shock which has led to an unexpected change in income or capital (this could be an increase or decrease),INCOME_OR_CAPITAL_SHOCK,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSeLMAW,Income or capital shock,Yes,,,Active,,Life events
,No,Yes,No,,No,Lack of emergency funds or any backup if something goes wrong,LOW_SAVINGS,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSeMMAW,Low savings,Yes,,,Active,,Resilience
,No,Yes,No,,No,"Inability to cope with changes, especially drops in income or the value of investments",LOW_EMOTIONAL_RESILIENCE,a1DQz000003S8DuMAK,VULNERABILITY,No,No,a1EQz000001NSeNMAW,Low emotional resilience,Yes,,,Active,,Resilience
,No,No,No,,No,"Has links to a connected third party such as a platform or provider that we use, this could be due to employment, investment or a family connection",LINKS_TO_CONNECTED_THIRD_PARTY,a1DQz000003S8DvMAK,CONFLICT_OF_INTEREST,No,No,a1EQz000001NSeOMAW,Links to connected third party,Yes,,,Active,,
,No,No,No,,No,A client's views / attitude / preferences towards protection,VIEWS_ON_PROTECTION,a1DQz000003S8E2MAK,MONEY_AND_VALUES,No,No,a1EQz000001NSePMAW,Views on protection,Yes,,,Active,,
"[update to situation i.e., you have now left employment with NOVA and as such are no longer contributing to your Aviva GPP] We will look at your [PLAN/POLICY], consider how this fits with your goals and make recommendations where we feel improvements can be made.",No,No,,,,"[update to situation i.e., you have now left employment with NOVA and as such are no longer contributing to your Aviva GPP] We will look at your [PLAN/POLICY], consider how this fits with your goals and make recommendations where we feel improvements can be made.",REVIEW_OF_YOUR_PLAN,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeQMAW,Review of your plan/policy,Optional,,,Active,,
"After making sure there’s enough to cover your own requirements, it is often the case that maximising what you pass on to future generations is a priority. We’ve put a plan in place to protect your wealth, looking at gifting and tax efficient structures to pass assets on and help them grow.",No,No,,,,"After making sure there’s enough to cover your own requirements, it is often the case that maximising what you pass on to future generations is a priority. We’ve put a plan in place to protect your wealth, looking at gifting and tax efficient structures to pass assets on and help them grow.",PRIORITIES_INHERITANCE_TAX_GIFTING,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeRMAW,Inheritance tax and gifting,Optional,,,Active,,
"Children can be expensive, so making sure you have a plan in place for paying childcare costs, funding education and family holidays is important. We’ve helped you look at how best to fund the costs of raising a family, and will continue to monitor the strategy to make sure your finances can cope with future changes.",No,No,,,,"Children can be expensive, so making sure you have a plan in place for paying childcare costs, funding education and family holidays is important. We’ve helped you look at how best to fund the costs of raising a family, and will continue to monitor the strategy to make sure your finances can cope with future changes.",FAMILY,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeSMAW,Family,Optional,,,Active,,
"How and when you draw income from your business will have an impact on the tax you pay each year and your inheritance tax position longer term. We’ve helped you model different exit scenarios and advised on ways to mitigate the tax you pay along the way, through the use of appropriate investment vehicles and tax wrappers that are right for you.",No,No,,,,"How and when you draw income from your business will have an impact on the tax you pay each year and your inheritance tax position longer term. We’ve helped you model different exit scenarios and advised on ways to mitigate the tax you pay along the way, through the use of appropriate investment vehicles and tax wrappers that are right for you.",BUSINESS_PLANNING,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeTMAW,Business planning,Optional,,,Active,,
"How and where you save can have a dramatic effect on your long term wealth. We talked through your existing assets, discussed if they were really in the best place, and made adjustments where beneficial to you. We’ve helped you look at where you are saving, and implemented a saving strategy to help maximise your returns. We will review and adjust this strategy as needed.",No,No,,,,"How and where you save can have a dramatic effect on your long term wealth. We talked through your existing assets, discussed if they were really in the best place, and made adjustments where beneficial to you. We’ve helped you look at where you are saving, and implemented a saving strategy to help maximise your returns. We will review and adjust this strategy as needed.",MAKING_YOUR_MONEY_WORK_HARDER,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeUMAW,Making your money work harder,Optional,,,Active,,
"Implementing a sensible plan will help the tax efficient funding of your income needs along with supporting your family later down the line. We will continue to make sure you are harnessing the power of suitable tax wrappers, and the right investments, to help boost your wealth and ensure there is enough to pay for any future costs that may arise.",No,No,,,,"Implementing a sensible plan will help the tax efficient funding of your income needs along with supporting your family later down the line. We will continue to make sure you are harnessing the power of suitable tax wrappers, and the right investments, to help boost your wealth and ensure there is enough to pay for any future costs that may arise.",MAINTAINING_INCOME_IN_LATER_YEARS,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeVMAW,Maintaining income in later years,Optional,,,Active,,
In today’s property market getting that first foot on the ladder can be hard. You told us that giving your children a helping hand to do this would be important to you down the line. We’ve worked with you to ensure that there is money available to your children so they can buy a property when the time comes without the risk of them getting access to this money too early.,No,No,,,,In today’s property market getting that first foot on the ladder can be hard. You told us that giving your children a helping hand to do this would be important to you down the line. We’ve worked with you to ensure that there is money available to your children so they can buy a property when the time comes without the risk of them getting access to this money too early.,HELPING_CHILDREN_ON_TO_THE_PROPERTY_LADDER,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeWMAW,Helping children on to the property ladder,Optional,,,Active,,
"It’s important to you that you go on regular holidays for work - life balance purposes. You want to have enough cash to support your travel plans, and we’ll account for this when making our recommendations.",No,No,,,,"It’s important to you that you go on regular holidays for work - life balance purposes. You want to have enough cash to support your travel plans, and we’ll account for this when making our recommendations.",HOLIDAYS_OTHER_PRIORITY,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeXMAW,Holidays / other generic priority,Optional,,,Active,,
It’s vital that there is adequate protection in place to cover for the unexpected. We’ve reviewed your protection needs to ensure you have sufficient cover in place to maintain your lifestyle in the event of a loss of income. We will continue to review your protection needs.,No,No,,,,It’s vital that there is adequate protection in place to cover for the unexpected. We’ve reviewed your protection needs to ensure you have sufficient cover in place to maintain your lifestyle in the event of a loss of income. We will continue to review your protection needs.,NO_FAMILY_PROTECTING_YOUR_WEALTH,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeYMAW,NO FAMILY: Protecting your wealth,Optional,,,Active,,
"It’s vital, when raising and supporting a family, that there is adequate protection in place to cover for the unexpected. We’ve proposed suitable protection policies to cover the costs of raising your family in the event of a loss of income, and setup the cover you wanted to proceed with. We will continue to review your protection needs.",No,No,,,,"It’s vital, when raising and supporting a family, that there is adequate protection in place to cover for the unexpected. We’ve proposed suitable protection policies to cover the costs of raising your family in the event of a loss of income, and setup the cover you wanted to proceed with. We will continue to review your protection needs.",PROTECTING_YOUR_WEALTH_AND_FAMILY,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeZMAW,Protecting your wealth and family,Optional,,,Active,,
Keeping an eye on your overall finances can be vital to ensuring your long term planning is effective.,No,No,No,,No,Keeping an eye on your overall finances can be vital to ensuring your long term planning is effective.,REVIEW,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeaMAG,Review,Optional,,,Active,,
"Keeping an eye on your overall finances can be vital to ensuring your long term planning is effective. From mortgages to investment income - because finances are so interconnected, they need to be carefully coordinated from the top down. We will continue to look at the products you have in place, consider how they fit with your goals and make recommendations where we feel improvements can be made.",No,No,,,,"Keeping an eye on your overall finances can be vital to ensuring your long term planning is effective. From mortgages to investment income - because finances are so interconnected, they need to be carefully coordinated from the top down. We will continue to look at the products you have in place, consider how they fit with your goals and make recommendations where we feel improvements can be made.",ONGOING_REVIEW,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSebMAG,Ongoing review,Optional,,,Active,,
Keeping an eye on your overall finances can be vital to ensuring your long term planning is effective. We will look at your current position and the allowances available to you to make sure you are harnessing the power of available tax wrappers to help boost your wealth.,No,No,,,,Keeping an eye on your overall finances can be vital to ensuring your long term planning is effective. We will look at your current position and the allowances available to you to make sure you are harnessing the power of available tax wrappers to help boost your wealth.,TAX_YEAR_END_PLANNING,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSecMAG,Tax year end planning,Optional,,,Active,,
"Looking after your family, both now and in the future, is important to you. No one can predict what's around the corner, so it is sensible to take steps now to help keep the money you've accumulated within the family. We’ve put a plan in place to protect your children's future - looking at tax efficient structures to pass assets on and help them grow.",No,No,,,,"Looking after your family, both now and in the future, is important to you. No one can predict what's around the corner, so it is sensible to take steps now to help keep the money you've accumulated within the family. We’ve put a plan in place to protect your children's future - looking at tax efficient structures to pass assets on and help them grow.",PROTECTING_FAMILY_WEALTH,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSedMAG,Protecting family wealth,Optional,,,Active,,
"One of a family’s largest assets is typically the family home. You told us that the next big step for you, is to look at buying a new home in the near future. We’ve introduced you to our specialist mortgage team to explain the options available to you, and put in place a strategy to make sure you can achieve the outcome you want.",No,No,,,,"One of a family’s largest assets is typically the family home. You told us that the next big step for you, is to look at buying a new home in the near future. We’ve introduced you to our specialist mortgage team to explain the options available to you, and put in place a strategy to make sure you can achieve the outcome you want.",BUYING_A_FAMILY_HOME,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeeMAG,Buying a family home,Optional,,,Active,,
"The age you retire may impact your ability to meet your objectives and long term wealth. We’ve helped you model the effect of different retirement scenarios on your finances, and put in place a plan to achieve the one that fit you best. We will also make sure you’re making the most of the planning options available to you to improve your position, before they are lost.",No,No,,,,"The age you retire may impact your ability to meet your objectives and long term wealth. We’ve helped you model the effect of different retirement scenarios on your finances, and put in place a plan to achieve the one that fit you best. We will also make sure you’re making the most of the planning options available to you to improve your position, before they are lost.",SAVING_FOR_YOUR_RETIREMENT,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSefMAG,Saving for your retirement,Optional,,,Active,,
"The way you allocate your capital is an effective tool in combating climate change, which can have a significant impact on the behavior of the companies you invest in. We will make sure your investment strategy continues to align with your values, balancing concerns like climate change with key investment foundations for long term growth.",No,No,,,,"The way you allocate your capital is an effective tool in combating climate change, which can have a significant impact on the behavior of the companies you invest in. We will make sure your investment strategy continues to align with your values, balancing concerns like climate change with key investment foundations for long term growth.",SUSTAINABLE_INVESTMENT_STRATEGY,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSegMAG,Sustainable investment strategy,Optional,,,Active,,
"We are reviewing your financial plan to make sure it remains on track. We’ll consider changes in your circumstances, review your existing products to ensure they remain suitable for you and recommend any changes that we think are necessary.",No,No,,,,"We are reviewing your financial plan to make sure it remains on track. We’ll consider changes in your circumstances, review your existing products to ensure they remain suitable for you and recommend any changes that we think are necessary.",ANNUAL_REVIEW,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSehMAG,Annual review,Optional,,,Active,,
"We will help you enjoy your wealth with your family. Greater certainty of retirement outcomes, and proper planning, can make this happen. We’ve also considered ways to enhance what you do one day leave to your children, without jeopardising your own lifestyle.",No,No,,,,"We will help you enjoy your wealth with your family. Greater certainty of retirement outcomes, and proper planning, can make this happen. We’ve also considered ways to enhance what you do one day leave to your children, without jeopardising your own lifestyle.",FAMILY_WEALTH,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSeiMAG,Family wealth,Optional,,,Active,,
"We’ve assessed the potential capital gains tax planning measures available to you following the sale of your business. We’ve helped you make use of valuable reliefs and tax - breaks where applicable. We’ve proposed suitable protection policies to cover the costs of raising your family in the event of a loss of income, and setup the cover you wanted to proceed with.",No,No,,,,"We’ve assessed the potential capital gains tax planning measures available to you following the sale of your business. We’ve helped you make use of valuable reliefs and tax - breaks where applicable. We’ve proposed suitable protection policies to cover the costs of raising your family in the event of a loss of income, and setup the cover you wanted to proceed with.",CAPITAL_GAINS_TAX_PLANNING,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSejMAG,Capital Gains Tax planning,Optional,,,Active,,
"We’ve helped put in place a plan for you to retire, or reduce your working hours, earlier. We will continue to make sure you are harnessing the power of available tax wrappers to help boost your wealth and help you bring forward the date at which you reduce your reliance on your current sources of income.",No,No,,,,"We’ve helped put in place a plan for you to retire, or reduce your working hours, earlier. We will continue to make sure you are harnessing the power of available tax wrappers to help boost your wealth and help you bring forward the date at which you reduce your reliance on your current sources of income.",EARLY_RETIREMENT,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSekMAG,Early retirement,Optional,,,Active,,
"We’ve helped you understand the tax implications of your charitable donations and ensured you do not miss out on the tax reliefs offered by the government in this space. In the long term, we can build in philanthropic objectives to ensure your financial planning reflects your values and ambitions in the philanthropic sector, as they change over time.",No,No,,,,"We’ve helped you understand the tax implications of your charitable donations and ensured you do not miss out on the tax reliefs offered by the government in this space. In the long term, we can build in philanthropic objectives to ensure your financial planning reflects your values and ambitions in the philanthropic sector, as they change over time.",PHILANTHROPY_AND_LONG_TERM_IMPACT,a1DQz000003S8E5MAK,ADVICE_PRIORITIES,No,No,a1EQz000001NSelMAG,Philanthropy and long term impact,Optional,,,Active,,
,No,No,No,,No,Any other introductions made to professionals. Include all details in notes.,OTHER_INTRODUCTION,a1DQz000003S8E3MAK,BUSINESS_DEVELOPMENT,No,No,a1EQz000001NSemMAG,Other introduction,Yes,,,Active,,
